id,title,description,google_product_category,link,image_link,availability,price,brand,identifier_exists,condition
SRGG14107OX-46,"Sunken Stone Signet Ring Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Sunken Stone Signet Ring Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/sunken-stone-signet-ring-gold?variant=46764737954118,https://cdn.shopify.com/s/files/1/0108/5022/products/sunken-stone-signet-ring-gold-213276.jpg?v=1684810923,in stock,325.0,Little Liffner,no,new
SRGG14107OX-50,"Sunken Stone Signet Ring Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Sunken Stone Signet Ring Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/sunken-stone-signet-ring-gold?variant=46764737986886,https://cdn.shopify.com/s/files/1/0108/5022/products/sunken-stone-signet-ring-gold-213276.jpg?v=1684810923,in stock,325.0,Little Liffner,no,new
SRGG14107OX-52,"Sunken Stone Signet Ring Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Sunken Stone Signet Ring Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/sunken-stone-signet-ring-gold?variant=46764757909830,https://cdn.shopify.com/s/files/1/0108/5022/products/sunken-stone-signet-ring-gold-213276.jpg?v=1684810923,in stock,325.0,Little Liffner,no,new
SBSV7179,"Molecule Bracelet","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"">Assembly Chain Bracelet</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/molecule-bracelet?variant=46764764528966,https://cdn.shopify.com/s/files/1/0108/5022/products/molecule-bracelet-286208.jpg?v=1684533488,in stock,595.0,Little Liffner,no,new
SR0003-1,"Midi Leather Basket Light Brown","<span style=""color: #f8f5f0;"" data-mce-style=""color: #f8f5f0;""><meta charset=""utf-8""> </span><p><span style=""color: #f8f5f0;"" mce-data-marked=""1"" data-mce-style=""color: #f8f5f0;"">TALL LEATHER BASKET BAG</span></p>",,https://www.littleliffner.com/products/midi-leather-basket-light-brown?variant=46793742614854,https://cdn.shopify.com/s/files/1/0108/5022/products/midi-leather-basket-light-brown-361708.jpg?v=1685063051,in stock,395.0,Little Liffner,no,new
SR0002-2,"Mini Leather Basket Dark Brown","<span style=""color: #f8f5f0;"" data-mce-style=""color: #f8f5f0;""><meta charset=""utf-8""> </span><p><span style=""color: #f8f5f0;"" mce-data-marked=""1"" data-mce-style=""color: #f8f5f0;"">MINI LEATHER BASKET BAG</span></p>",,https://www.littleliffner.com/products/mini-leather-basket-dark-brown?variant=46793900097862,https://cdn.shopify.com/s/files/1/0108/5022/products/mini-leather-basket-dark-brown-134309.jpg?v=1685063044,out of stock,325.0,Little Liffner,no,new
SR0002-1,"Mini Leather Basket Black","<span style=""color: #f8f5f0;"" data-mce-style=""color: #f8f5f0;""><meta charset=""utf-8""> </span><p><span style=""color: #f8f5f0;"" mce-data-marked=""1"" data-mce-style=""color: #f8f5f0;"">MINI LEATHER BASKET BAG</span></p>",,https://www.littleliffner.com/products/mini-leather-basket-black?variant=46793907241286,https://cdn.shopify.com/s/files/1/0108/5022/files/leather-basket-mini-black-front.jpg?v=1686304040,out of stock,325.0,Little Liffner,no,new
CR3768-30,"Maccheroni Bag Cream / Gray - 30% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" data-mce-style=""color: #f2ede9;""> Maccheromi Bag Stripe</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;"" data-mce-style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",,https://www.littleliffner.com/products/maccheroni-bag-stripe-cream-gray?variant=46986933076294,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-cream-gray-234461.jpg?v=1690018853,in stock,415.0,Little Liffner,no,new
CR3805-2,"Maccheroni Clutch Croc Embossed Black - 25% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Black</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/maccheroni-clutch-croc-embossed-black?variant=46986951491910,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-clutch-croc-embossed-black-249026.jpg?v=1691427339,in stock,325.0,Little Liffner,no,new
CR3715-19,"Sprout Tote Cream / Gray - 30% off","<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span><div id=""gtx-trans"" style=""position: absolute; left: 70px; top: 25.5px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/sprout-tote-stripe-cream-gray?variant=46987017683270,https://cdn.shopify.com/s/files/1/0108/5022/products/sprout-tote-cream-gray-466584.jpg?v=1690018860,in stock,405.0,Little Liffner,no,new
