id,title,description,link,image_link,availability,price,brand,identifier_exists,condition
CR2001,Macrame Mini Bag,"<meta charset=""utf-8""><p><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 230px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/macrame-mini-bag,https://cdn.shopify.com/s/files/1/0108/5022/products/macrame-mini-bag-818897.jpg?v=1610959115,in stock,2000.00,brand name,no,new
SE32950CUS-,Marble & Sphere Earrings Silver,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Marble &amp; Sphere Earrings Silver</span></p>",https://www.littleliffner.com/products/marble-and-sphere-earrings-925-sterling-silver,https://cdn.shopify.com/s/files/1/0108/5022/products/marble-sphere-earrings-silver-184904.jpg?v=1667938235,in stock,3200.00,brand name,no,new
CR3717-4,Mega Buckle Belt Black,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;""> Mega Buckle Belt Black </span></p>",https://www.littleliffner.com/products/mega-buckle-belt-black,https://cdn.shopify.com/s/files/1/0108/5022/products/mega-buckle-belt-black-275342.jpg?v=1669149544,in stock,1900.00,brand name,no,new
CR3583-6,Mega Sprout Tote Black - 40% off,"<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span>",https://www.littleliffner.com/products/mega-sprout-tote-black,https://cdn.shopify.com/s/files/1/0108/5022/products/mega-sprout-tote-black-686465.jpg?v=1683159363,out of stock,3300.00,brand name,no,new
CR3583-11,Mega Sprout Tote Black Suede,"<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span>",https://www.littleliffner.com/products/mega-sprout-tote-black-suede,https://cdn.shopify.com/s/files/1/0108/5022/products/mega-sprout-tote-black-suede-273082.jpg?v=1693913135,in stock,5500.00,brand name,no,new
CR3583-8,Mega Sprout Tote Chestnut Suede,"<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span>",https://www.littleliffner.com/products/mega-sprout-tote-chestnut-suede,https://cdn.shopify.com/s/files/1/0108/5022/products/mega-sprout-tote-chestnut-suede-452150.jpg?v=1691427340,in stock,5500.00,brand name,no,new
CR3583-7,Mega Sprout Tote Rhum Suede,"<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span>",https://www.littleliffner.com/products/mega-sprout-tote-rhum-suede,https://cdn.shopify.com/s/files/1/0108/5022/products/mega-sprout-tote-rhum-suede-120569.jpg?v=1683159364,in stock,5500.00,brand name,no,new
SR0003-2,Midi Leather Basket Black,"<span style=""color: #f8f5f0;"" data-mce-style=""color: #f8f5f0;""><meta charset=""utf-8""> </span><p><span style=""color: #f8f5f0;"" mce-data-marked=""1"" data-mce-style=""color: #f8f5f0;"">Midi Leather Basket </span></p>",https://www.littleliffner.com/products/midi-leather-basket-black,https://cdn.shopify.com/s/files/1/0108/5022/products/midi-leather-basket-black-120107.jpg?v=1697724790,in stock,3950.00,brand name,no,new
SR0003-1,Midi Leather Basket Light Brown,"<span style=""color: #f8f5f0;"" data-mce-style=""color: #f8f5f0;""><meta charset=""utf-8""> </span><p><span style=""color: #f8f5f0;"" mce-data-marked=""1"" data-mce-style=""color: #f8f5f0;"">TALL LEATHER BASKET BAG</span></p>",https://www.littleliffner.com/products/midi-leather-basket-light-brown,https://cdn.shopify.com/s/files/1/0108/5022/products/midi-leather-basket-light-brown-361708.jpg?v=1685063051,in stock,3950.00,brand name,no,new
SEGG32886,Mini Barbell Gold,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Mini Barbell Gold</span></p>",https://www.littleliffner.com/products/mini-barbell-gold,https://cdn.shopify.com/s/files/1/0108/5022/products/mini-barbell-gold-795340.jpg?v=1667938213,in stock,2900.00,brand name,no,new
SE32886,Mini Barbell Silver,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Mini Barbell Silver</span></p>",https://www.littleliffner.com/products/mini-barbell-silver,https://cdn.shopify.com/s/files/1/0108/5022/products/mini-barbell-silver-904304.jpg?v=1667938235,out of stock,2500.00,brand name,no,new
SR0002-1,Mini Leather Basket Black,"<span style=""color: #f8f5f0;"" data-mce-style=""color: #f8f5f0;""><meta charset=""utf-8""> </span><p><span style=""color: #f8f5f0;"" mce-data-marked=""1"" data-mce-style=""color: #f8f5f0;"">MINI LEATHER BASKET BAG</span></p>",https://www.littleliffner.com/products/mini-leather-basket-black,https://cdn.shopify.com/s/files/1/0108/5022/files/leather-basket-mini-black-front.jpg?v=1686304040,in stock,2950.00,brand name,no,new
SR0002-2,Mini Leather Basket Dark Brown,"<span style=""color: #f8f5f0;"" data-mce-style=""color: #f8f5f0;""><meta charset=""utf-8""> </span><p><span style=""color: #f8f5f0;"" mce-data-marked=""1"" data-mce-style=""color: #f8f5f0;"">MINI LEATHER BASKET BAG</span></p>",https://www.littleliffner.com/products/mini-leather-basket-dark-brown,https://cdn.shopify.com/s/files/1/0108/5022/products/mini-leather-basket-dark-brown-134309.jpg?v=1685063044,in stock,2950.00,brand name,no,new
SEGG33161PRL,Minimalist Baroque Earrings Gold,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Baroque Pearl Earrings Gold</span></p>",https://www.littleliffner.com/products/minimalist-baroque-earrings-gold,https://cdn.shopify.com/s/files/1/0108/5022/products/minimalist-baroque-earrings-gold-762159.jpg?v=1667938235,in stock,2700.00,brand name,no,new
